Rk,player_id,Player,PlayerName,Race,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
13,antetko01,Kostas Antetokounmpo\antetko01,Kostas Antetokounmpo,Black,PF,23,LAL,15,56,0,0.382,0,1.3,8.1,29.9,19.1,2.3,1.7,6.4,41.2,20.7,-0.3,0.1,-0.2,-0.174,-13.2,0.2,-13,-0.2,#N/A
14,antetth01,Thanasis Antetokounmpo\antetth01,Thanasis Antetokounmpo,Black,SF,28,MIL,57,551,10.3,0.523,0.212,0.358,10.7,12.9,11.8,10.3,1.9,1.6,21.3,15.3,0,0.6,0.7,0.057,-3.6,-0.3,-3.9,-0.3,1729217
15,anthoca01,Carmelo Anthony\anthoca01,Carmelo Anthony,Black,PF,36,POR,69,1690,14.6,0.547,0.418,0.198,2,11.8,6.8,9.2,1.3,2,6.7,23.1,1.7,0.8,2.6,0.073,0.1,-1.6,-1.5,0.2,2641691
16,anthoco01,Cole Anthony\anthoco01,Cole Anthony,#N/A,PG,20,ORL,47,1273,12.1,0.496,0.312,0.237,3,15.4,9,24.2,1.1,1.3,14.8,24.3,-0.9,0.9,0,-0.001,-2,-1.3,-3.3,-0.4,3449400
17,anunoog01,OG Anunoby\anunoog01,OG Anunoby,Black,SF,23,TOR,43,1433,15.4,0.605,0.503,0.197,4,14.6,9.1,10.1,2.2,2.2,11.7,19.3,1.5,1.6,3.1,0.104,0.6,0.3,1,1.1,16071429
18,arcidry01,Ryan Arcidiacono\arcidry01,Ryan Arcidiacono,White,PG,26,CHI,44,450,9.8,0.541,0.573,0.171,1.2,15.1,8.3,16.3,1,0,7.4,13.1,0.5,0.4,0.9,0.093,-2.7,0.2,-2.5,-0.1,4789256
19,arizatr01,Trevor Ariza\arizatr01,Trevor Ariza,Black,SF,35,MIA,30,841,11.9,0.542,0.593,0.183,3.7,15.6,9.8,9.4,1.8,2.2,7.5,15.1,0.5,1,1.6,0.091,-1.5,0.2,-1.3,0.2,2641691
20,augusdj01,D.J. Augustin\augusdj01,D.J. Augustin,Black,PG,33,TOT,57,1129,12.1,0.57,0.633,0.274,1.9,7,4.4,22.2,1.2,0.1,14.5,16.8,1.5,0.5,2.1,0.088,-0.5,-1.6,-2.1,0,7000000
21,avdijde01,Deni Avdija\avdijde01,Deni Avdija,#N/A,SF,20,WAS,54,1257,7.6,0.515,0.538,0.144,1.9,20.2,11,6.3,1.2,1,9,12,0,1.2,1.2,0.046,-3.6,-0.3,-3.9,-0.6,4692840
22,aytonde01,Deandre Ayton\aytonde01,Deandre Ayton,Black,C,22,PHO,69,2115,20.3,0.653,0.029,0.252,12.4,26.3,19.5,6.8,1,3.4,11.9,18.2,5.3,3.1,8.4,0.191,0.9,0,0.9,1.6,12632950
23,azubuud01,Udoka Azubuike\azubuud01,Udoka Azubuike,#N/A,C,21,UTA,15,57,10.3,0.597,0,1.111,7.8,16,12.1,0,0.9,5.7,18.3,12.4,0,0.1,0.1,0.119,-5.6,0.7,-4.9,0,2075880
24,bacondw01,Dwayne Bacon\bacondw01,Dwayne Bacon,Black,SG,25,ORL,72,1853,9.9,0.49,0.285,0.242,1.7,11.2,6.3,7.9,1.2,0.2,5.4,19.8,-0.3,0.9,0.5,0.013,-3.5,-1.6,-5.1,-1.4,1789256
25,baglema01,Marvin Bagley III\baglema01,Marvin Bagley III,Black,PF,21,SAC,43,1112,16.3,0.554,0.22,0.273,10.4,21.5,15.9,5.8,0.9,1.6,9.7,23.5,0.9,0.5,1.4,0.059,-0.6,-2.8,-3.4,-0.4,11312114
26,ballla01,LaMelo Ball\ballla01,LaMelo Ball,#N/A,PG,19,CHO,51,1469,17.5,0.539,0.388,0.246,4.6,17.9,11.1,33.9,2.7,1.2,16.3,26.1,1,1.9,2.8,0.093,1.2,0.6,1.9,1.4,8231760
27,balllo01,Lonzo Ball\balllo01,Lonzo Ball,Black/Mixed,PG,23,NOP,55,1747,15.2,0.551,0.65,0.091,2.1,14.3,8.2,25.4,2.3,1.7,14.5,20.5,1.5,1.7,3.2,0.089,1.4,0.2,1.6,1.6,19767442
28,bambamo01,Mo Bamba\bambamo01,Mo Bamba,Black,C,22,ORL,46,725,19.3,0.556,0.392,0.219,10.5,28,19,8.1,0.9,7.3,9.8,21.8,0.7,1.1,1.8,0.117,0.1,-0.1,0,0.4,7568742
29,banede01,Desmond Bane\banede01,Desmond Bane,#N/A,SG,22,MEM,68,1519,12.2,0.6,0.543,0.098,2.1,12.6,7.3,10.6,1.3,0.9,10.2,16.1,1.6,1.3,2.9,0.093,-0.7,-0.3,-1,0.4,2033160
30,barneha02,Harrison Barnes\barneha02,Harrison Barnes,Black,PF,28,SAC,58,2102,15.4,0.626,0.399,0.366,3.3,17.2,10.2,13,1,0.4,11.1,17.2,4,0.5,4.5,0.103,1.4,-1.6,-0.2,1,20284091
31,barrerj01,RJ Barrett\barrerj01,RJ Barrett,Black,SG,20,NYK,72,2511,13.4,0.535,0.292,0.26,3,14.8,8.9,13.8,1.1,0.8,10.5,23.4,0.9,3.1,4.1,0.078,-1,-0.5,-1.5,0.3,8623920
32,bartowi01,Will Barton\bartowi01,Will Barton,Black,SF,30,DEN,56,1736,11.8,0.538,0.423,0.199,2.6,12.2,7.4,14.1,1.4,1.3,12.7,19,0.7,1.5,2.2,0.061,-0.8,-1.2,-2,0,30264615
