"Tm","PlayerName","Age","States","Salary"
"NOP","Jaxson Hayes",20,"Louisiana",5348280
"NOP","Lonzo Ball",23,"Louisiana",19767442
"NOP","Eric Bledsoe",31,"Louisiana",18125000
"NOP","Josh Hart",25,"Louisiana",1.2e+07
"NYK","RJ Barrett",20,"New York",8623920
"NYK","Elfrid Payton",26,"New York",2239544
"NYK","Alec Burks",29,"New York",9536000
"NYK","Reggie Bullock",29,"New York",9536000
"NYK","Theo Pinson",25,"New York",1729217
"NYK","Julius Randle",26,"New York",19800000
"NYK","Frank Ntilikina",22,"New York",1789256
"NYK","Taj Gibson",35,"New York",4910000
"NYK","Nerlens Noel",26,"New York",8800000
"NYK","Mitchell Robinson",22,"New York",1802057
"OKC","Shai Gilgeous-Alexander",22,"Oklahoma",5495532
"OKC","Ty Jerome",23,"Oklahoma",2412840
"OKC","Al Horford",34,"Oklahoma",2.7e+07
"OKC","Moses Brown",21,"Oklahoma",1701593
"OKC","Isaiah Roby",22,"Oklahoma",1782621
"OKC","Darius Bazley",20,"Oklahoma",2513040
"OKC","Luguentz Dort",21,"Oklahoma",1782621
"OKC","Kenrich Williams",26,"Oklahoma",2e+06
"OKC","Mike Muscala",29,"Oklahoma",3500000
"ORL","Michael Carter-Williams",29,"Florida",3e+06
"ORL","Terrence Ross",29,"Florida",12500000
"ORL","Markelle Fultz",22,"Florida",16500000
"ORL","Dwayne Bacon",25,"Florida",1789256
"ORL","Mo Bamba",22,"Florida",7568742
"ORL","Chasson Randle",27,"Florida",1789256
"PHI","Matisse Thybulle",23,"Pennsylvania",2840160
"PHI","Furkan Korkmaz",23,"Pennsylvania",4629630
"PHI","Seth Curry",30,"Pennsylvania",8186047
"PHI","Danny Green",33,"Pennsylvania",1e+07
"PHI","Dwight Howard",35,"Pennsylvania",2641691
"PHI","Tobias Harris",28,"Pennsylvania",3.6e+07
"PHI","Joel Embiid",26,"Pennsylvania",31579390
"PHI","Ben Simmons",24,"Pennsylvania",31590000
"PHI","Shake Milton",24,"Pennsylvania",1846738
"PHO","Devin Booker",24,"Arizona",31610000
"PHO","Mikal Bridges",24,"Arizona",5557725
"PHO","Deandre Ayton",22,"Arizona",12632950
"PHO","Abdel Nader",27,"Arizona",2e+06
"PHO","Chris Paul",35,"Arizona",30800000
"PHO","Jae Crowder",30,"Arizona",9720900
"PHO","Jevon Carter",25,"Arizona",3833333
"PHO","E'Twaun Moore",31,"Arizona",2641691
"PHO","Frank Kaminsky",27,"Arizona",2089448
"PHO","Cameron Johnson",24,"Arizona",4437000
"POR","Carmelo Anthony",36,"Oregon",2641691
"POR","Damian Lillard",30,"Oregon",43750000
"POR","Anfernee Simons",21,"Oregon",3938818
"POR","CJ McCollum",29,"Oregon",30864198
"POR","Robert Covington",30,"Oregon",12975471
"POR","Nassir Little",20,"Oregon",2316240
"POR","Enes Kanter",28,"Oregon",2641691
"POR","Derrick Jones Jr.",23,"Oregon",9731707
"SAC","Kyle Guy",23,"California",1669178
"SAC","Buddy Hield",28,"California",22477273
"SAC","Richaun Holmes",27,"California",10384500
"SAC","Harrison Barnes",28,"California",20284091
"SAC","Hassan Whiteside",31,"California",2401537
"SAC","De'Aaron Fox",23,"California",28103550
"SAC","Chimezie Metu",23,"California",1762796
"SAC","Marvin Bagley III",21,"California",11312114
"SAS","Patty Mills",32,"Texas",5890000
"SAS","Rudy Gay",34,"Texas",5890000
"SAS","Dejounte Murray",24,"Texas",15428571
"SAS","Drew Eubanks",23,"Texas",1762796
"SAS","Trey Lyles",25,"Texas",2500000
"SAS","DeMar DeRozan",31,"Texas",26984127
"SAS","Quinndary Weatherspoon",24,"Texas",1669178
"SAS","Jakob Poeltl",25,"Texas",8750000
"SAS","Keldon Johnson",21,"Texas",2145720
"SAS","Keita Bates-Diop",25,"Texas",1729217
"SAS","Derrick White",26,"Texas",15178571
"TOR","DeAndre' Bembry",26,"CANADA",1939350
"TOR","Stanley Johnson",24,"CANADA",2089448
"TOR","Pascal Siakam",26,"CANADA",31320000
"TOR","Kyle Lowry",34,"CANADA",26984128
"TOR","Chris Boucher",28,"CANADA",7009615
"TOR","OG Anunoby",23,"CANADA",16071429
"TOR","Fred VanVleet",26,"CANADA",19675926
"TOR","Yuta Watanabe",26,"CANADA",1762769
"TOT","Hamidou Diallo",22,"CANADA",5200000
"TOT","Shaquille Harrison",27,"CANADA",1789256
"TOT","JaVale McGee",33,"CANADA",5e+06
"TOT","Troy Brown Jr.",21,"CANADA",5170564
"TOT","George Hill",34,"CANADA",4e+06
"TOT","Daniel Gafford",22,"CANADA",1782621
"TOT","Jarrett Allen",22,"CANADA",2e+07
"TOT","Al-Farouq Aminu",30,"CANADA",10183800
"TOT","Moritz Wagner",23,"CANADA",1729217
"TOT","LaMarcus Aldridge",35,"CANADA",2641691
"TOT","P.J. Tucker",35,"CANADA",7e+06
"TOT","Derrick Rose",32,"CANADA",13445120
"TOT","Norman Powell",27,"CANADA",15517242
"TOT","Quinn Cook",27,"CANADA",1939350
"TOT","Maurice Harkless",27,"CANADA",4347600
"TOT","Gary Harris",26,"CANADA",20482143
"TOT","Andre Drummond",27,"CANADA",2401537
"TOT","Daniel Theis",28,"CANADA",8372093
"TOT","Damian Jones",25,"CANADA",1977011
"TOT","Gary Clark",26,"CANADA",2100000
"TOT","D.J. Augustin",33,"CANADA",7e+06
"TOT","Alex Len",27,"CANADA",3731707
"TOT","Cory Joseph",29,"CANADA",4910000
"TOT","Caris LeVert",26,"CANADA",17500000
"TOT","Dennis Smith Jr.",23,"CANADA",1789256
"TOT","Khem Birch",28,"CANADA",6350000
"TOT","James Harden",31,"CANADA",43848000
"TOT","Taurean Prince",26,"CANADA",15057692
"TOT","Nemanja Bjelica",32,"CANADA",2089448
"TOT","Wendell Carter Jr.",21,"CANADA",6920027
"TOT","Evan Fournier",28,"CANADA",18139535
"TOT","Tony Bradley",23,"CANADA",1789256
"TOT","Ben McLemore",27,"CANADA",2389641
"TOT","Avery Bradley",30,"CANADA",8558441
"TOT","Isaiah Hartenstein",22,"CANADA",3430810
"TOT","Chandler Hutchison",24,"CANADA",0
"TOT","DaQuan Jeffries",23,"CANADA",3370771
"TOT","Rajon Rondo",34,"CANADA",2641691
"TOT","Gorgui Dieng",31,"CANADA",4e+06
"TOT","Torrey Craig",30,"CANADA",4878049
"TOT","Aaron Gordon",25,"CANADA",16409091
"TOT","James Johnson",33,"CANADA",2641691
"TOT","Rodney Hood",28,"CANADA",2239544
"TOT","Brad Wanamaker",31,"CANADA",3458434
"TOT","Victor Oladipo",28,"CANADA",2389641
"TOT","Blake Griffin",31,"CANADA",32405817
"TOT","Gary Trent Jr.",22,"CANADA",1.6e+07
"TOT","Matt Thomas",26,"CANADA",1669178
"TOT","Jabari Parker",25,"CANADA",2283034
"TOT","Delon Wright",28,"CANADA",8526316
"TOT","Terence Davis",23,"CANADA",4e+06
"TOT","D.J. Wilson",24,"CANADA",1789256
"TOT","Javonte Green",27,"CANADA",1669178
"TOT","Austin Rivers",28,"CANADA",2401537
"TOT","Chris Silva",24,"CANADA",1669178
"TOT","Kelly Olynyk",29,"CANADA",12195122
"TOT","Lou Williams",34,"CANADA",5e+06
"UTA","Miye Oni",23,"Utah",1782621
"UTA","Derrick Favors",29,"Utah",9720900
"UTA","Jordan Clarkson",28,"Utah",12420000
"UTA","Georges Niang",27,"Utah",3300000
"UTA","Joe Ingles",33,"Utah",1.4e+07
"UTA","Donovan Mitchell",24,"Utah",28103550
"UTA","Mike Conley",33,"Utah",2.1e+07
"UTA","Royce O'Neale",27,"Utah",8678571
"UTA","Rudy Gobert",28,"Utah",35344828
"WAS","Raul Neto",28,"Washington DC",2089448
"WAS","Davis Bertans",28,"Washington DC",1.6e+07
"WAS","Thomas Bryant",23,"Washington DC",8730159
"WAS","Garrison Mathews",24,"Washington DC",1669178
"WAS","Ish Smith",32,"Washington DC",4500000
"WAS","Isaac Bonga",21,"Washington DC",1729217
"WAS","Robin Lopez",32,"Washington DC",5e+06
"WAS","Russell Westbrook",32,"Washington DC",44211146
"WAS","Bradley Beal",27,"Washington DC",34502130
"WAS","Rui Hachimura",22,"Washington DC",4916160
